protein_name	predict_score
F443_03929	0.705 
F443_19953	0.810 
F443_22469	0.721 
F443_13729	0.800 
F443_19032	0.879 
F443_03593	0.912 
F443_11600	0.711 
F443_00472	0.849 
F443_01130	0.795 
F443_02845	0.715 
F443_20706	0.715 
F443_23209	0.884 
F443_04031	0.934 
F443_01951	0.829 
F443_07598	0.869 
F443_21895	0.848 
F443_21906	0.801 
F443_16097	0.721 
F443_11802	0.936 
F443_13380	0.856 
F443_20739	0.833 
F443_11835	0.780 
F443_15407	0.819 
F443_14341	0.766 
F443_13150	0.812 
F443_05190	0.703 
F443_05194	0.892 
F443_23083	0.899 
F443_22749	0.744 
F443_22594	0.915 
F443_00398	0.848 
F443_15450	0.904 
F443_02396	0.732 
F443_08322	0.901 
F443_17842	0.853 
F443_17844	0.795 
F443_02925	0.719 
F443_02927	0.795 
F443_00542	0.852 
F443_14615	0.805 
F443_12239	0.833 
F443_07183	0.732 
F443_03022	0.912 
F443_03232	0.710 
F443_11101	0.793 
F443_19006	0.738 
F443_16045	0.890 
F443_16046	0.772 
F443_16029	0.859 
F443_15077	0.916 
F443_07516	0.889 
F443_21661	0.710 
F443_00279	0.717 
F443_14883	0.783 
F443_00146	0.753 
F443_15314	0.917 
F443_10034	0.769 
F443_09307	0.801 
F443_20344	0.860 
F443_03393	0.929 
F443_03394	0.930 
F443_03898	0.905 
F443_13138	0.830 
F443_02631	0.724 
F443_07155	0.888 
F443_21558	0.750 
F443_10612	0.866 
F443_03805	0.851 
F443_03800	0.924 
F443_10504	0.831 
F443_16767	0.890 
F443_18748	0.831 
F443_15471	0.822 
F443_15470	0.736 
F443_05526	0.780 
F443_01427	0.905 
F443_11642	0.761 
F443_09400	0.712 
F443_08359	0.856 
F443_08124	0.808 
F443_02764	0.818 
F443_16156	0.700 
F443_17053	0.748 
F443_17030	0.707 
F443_17025	0.791 
F443_03742	0.719 
F443_20654	0.871 
F443_10343	0.908 
F443_01597	0.936 
F443_12935	0.899 
F443_12937	0.841 
F443_16982	0.931 
F443_13085	0.887 
F443_13174	0.829 
F443_13176	0.744 
F443_11750	0.781 
F443_10391	0.884 
F443_04411	0.730 
F443_10722	0.808 
F443_04581	0.703 
F443_03473	0.752 
F443_10980	0.837 
F443_12736	0.812 
F443_12740	0.928 
F443_11062	0.934 
F443_02812	0.717 
F443_13881	0.772 
F443_01231	0.812 
F443_01229	0.856 
F443_18716	0.715 
F443_09424	0.771 
F443_01961	0.816 
F443_05605	0.795 
F443_19541	0.786 
F443_04186	0.939 
F443_09246	0.724 
F443_21007	0.896 
F443_17331	0.907 
F443_15318	0.729 
F443_17740	0.765 
F443_00438	0.898 
F443_00430	0.797 
F443_03491	0.707 
F443_03513	0.827 
F443_19017	0.710 
F443_07719	0.748 
F443_07451	0.783 
F443_15069	0.886 
F443_10824	0.783 
F443_20497	0.836 
F443_13709	0.780 
F443_00671	0.777 
F443_01523	0.846 
F443_10455	0.885 
